Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio
12/12/1980,28.75,28.87,28.75,28.75,2093900.0,0.0,1.0
12/15/1980,27.38,27.38,27.25,27.25,785200.0,0.0,1.0
12/16/1980,25.37,25.37,25.25,25.25,472000.0,0.0,1.0
12/17/1980,25.87,26.0,25.87,25.87,385900.0,0.0,1.0
12/18/1980,26.63,26.75,26.63,26.63,327900.0,0.0,1.0
12/19/1980,28.25,28.38,28.25,28.25,217100.0,0.0,1.0
12/22/1980,29.63,29.75,29.63,29.63,166800.0,0.0,1.0
12/23/1980,30.88,31.0,30.88,30.88,209600.0,0.0,1.0
12/24/1980,32.5,32.63,32.5,32.5,214300.0,0.0,1.0
12/26/1980,35.5,35.62,35.5,35.5,248100.0,0.0,1.0
12/29/1980,36.0,36.13,36.0,36.0,415900.0,0.0,1.0
12/30/1980,35.25,35.25,35.12,35.12,307500.0,0.0,1.0
12/31/1980,34.25,34.25,34.13,34.13,159600.0,0.0,1.0
01/02/1981,34.5,34.75,34.5,34.5,96700.0,0.0,1.0
01/05/1981,33.87,33.87,33.75,33.75,159500.0,0.0,1.0
01/06/1981,32.37,32.37,32.25,32.25,201600.0,0.0,1.0
01/07/1981,31.0,31.0,30.88,30.88,248600.0,0.0,1.0
01/08/1981,30.37,30.37,30.25,30.25,177800.0,0.0,1.0
01/09/1981,31.88,32.0,31.88,31.88,96000.0,0.0,1.0
01/12/1981,31.88,31.88,31.62,31.62,105800.0,0.0,1.0
01/13/1981,30.63,30.63,30.5,30.5,102900.0,0.0,1.0
01/14/1981,30.63,30.75,30.63,30.63,63800.0,0.0,1.0
01/15/1981,31.25,31.5,31.25,31.25,62800.0,0.0,1.0
01/16/1981,31.12,31.12,31.0,31.0,59800.0,0.0,1.0
01/19/1981,32.87,33.0,32.87,32.87,185600.0,0.0,1.0
01/20/1981,32.0,32.0,31.88,31.88,134300.0,0.0,1.0
01/21/1981,32.5,32.75,32.5,32.5,71000.0,0.0,1.0
01/22/1981,32.87,33.13,32.87,32.87,158700.0,0.0,1.0
01/23/1981,32.87,33.0,32.75,32.75,50100.0,0.0,1.0
01/26/1981,32.37,32.37,32.25,32.25,110000.0,0.0,1.0
01/27/1981,32.25,32.25,32.0,32.0,105800.0,0.0,1.0
01/28/1981,31.12,31.12,31.0,31.0,125700.0,0.0,1.0
01/29/1981,30.0,30.0,29.87,29.87,196000.0,0.0,1.0
01/30/1981,28.5,28.5,28.25,28.25,206200.0,0.0,1.0
02/02/1981,26.75,26.75,26.63,26.63,106100.0,0.0,1.0
02/03/1981,27.62,27.75,27.62,27.62,85500.0,0.0,1.0
02/04/1981,28.62,28.75,28.62,28.62,124400.0,0.0,1.0
02/05/1981,28.62,28.87,28.62,28.62,35400.0,0.0,1.0
02/06/1981,28.75,28.87,28.75,28.75,61900.0,0.0,1.0
02/09/1981,27.5,27.5,27.25,27.25,74800.0,0.0,1.0
02/10/1981,27.25,27.38,27.25,27.25,81900.0,0.0,1.0
02/11/1981,26.5,26.5,26.37,26.37,61800.0,0.0,1.0
02/12/1981,26.25,26.25,26.13,26.13,65000.0,0.0,1.0
02/13/1981,25.75,25.75,25.5,25.5,49800.0,0.0,1.0
02/17/1981,26.13,26.25,26.13,26.13,54800.0,0.0,1.0
02/18/1981,27.25,27.5,27.25,27.25,85900.0,0.0,1.0
02/19/1981,25.75,25.75,25.63,25.63,99600.0,0.0,1.0
02/20/1981,24.38,24.38,24.25,24.25,108800.0,0.0,1.0
02/23/1981,24.62,24.75,24.62,24.62,63000.0,0.0,1.0
02/24/1981,24.0,24.0,23.75,23.75,75800.0,0.0,1.0
02/25/1981,25.25,25.37,25.25,25.25,87000.0,0.0,1.0
02/26/1981,25.63,25.75,25.63,25.63,48400.0,0.0,1.0
02/27/1981,26.5,26.75,26.5,26.5,65900.0,0.0,1.0
03/02/1981,26.63,26.75,26.63,26.63,52500.0,0.0,1.0
03/03/1981,26.37,26.37,26.25,26.25,72200.0,0.0,1.0
03/04/1981,26.13,26.13,26.0,26.0,61200.0,0.0,1.0
03/05/1981,26.0,26.0,25.87,25.87,24000.0,0.0,1.0
03/06/1981,25.87,25.87,25.63,25.63,51800.0,0.0,1.0
03/09/1981,23.75,23.75,23.63,23.63,68400.0,0.0,1.0
03/10/1981,22.63,22.63,22.5,22.5,126700.0,0.0,1.0
03/11/1981,21.87,21.87,21.62,21.62,133300.0,0.0,1.0
03/12/1981,22.5,22.63,22.5,22.5,264500.0,0.0,1.0
03/13/1981,22.37,22.37,22.25,22.25,1032600.0,0.0,1.0
03/16/1981,23.13,23.37,23.13,23.13,166200.0,0.0,1.0
03/17/1981,24.25,24.5,24.25,24.25,195300.0,0.0,1.0
03/18/1981,25.75,26.0,25.75,25.75,164900.0,0.0,1.0
03/19/1981,25.63,25.63,25.5,25.5,168800.0,0.0,1.0
03/20/1981,25.75,26.0,25.75,25.75,65200.0,0.0,1.0
03/23/1981,26.75,27.0,26.75,26.75,98300.0,0.0,1.0
03/24/1981,26.75,26.75,26.63,26.63,125700.0,0.0,1.0
03/25/1981,26.37,26.37,26.13,26.13,31500.0,0.0,1.0
03/26/1981,25.75,25.75,25.63,25.63,54800.0,0.0,1.0
03/27/1981,24.88,24.88,24.75,24.75,54700.0,0.0,1.0
03/30/1981,24.75,25.0,24.75,24.75,44200.0,0.0,1.0
03/31/1981,24.75,24.75,24.5,24.5,71400.0,0.0,1.0
04/01/1981,24.38,24.38,24.25,24.25,152100.0,0.0,1.0
04/02/1981,26.37,26.5,26.37,26.37,140200.0,0.0,1.0
04/03/1981,26.5,26.63,26.5,26.5,73600.0,0.0,1.0
04/06/1981,26.13,26.13,26.0,26.0,101800.0,0.0,1.0
04/07/1981,25.87,25.87,25.75,25.75,47700.0,0.0,1.0
04/08/1981,27.0,27.25,27.0,27.0,98000.0,0.0,1.0
04/09/1981,27.5,27.62,27.5,27.5,55800.0,0.0,1.0
04/10/1981,27.88,28.0,27.88,27.88,149400.0,0.0,1.0
04/13/1981,27.88,28.0,27.88,27.88,71700.0,0.0,1.0
04/14/1981,27.88,28.0,27.88,27.88,29700.0,0.0,1.0
04/15/1981,26.63,26.63,26.5,26.5,152000.0,0.0,1.0
04/16/1981,25.12,25.12,25.0,25.0,106600.0,0.0,1.0
04/20/1981,25.75,25.87,25.75,25.75,157800.0,0.0,1.0
04/21/1981,27.5,27.62,27.5,27.5,127400.0,0.0,1.0
04/22/1981,28.5,28.62,28.5,28.5,84800.0,0.0,1.0
04/23/1981,29.25,29.37,29.25,29.25,259000.0,0.0,1.0
04/24/1981,29.25,29.25,29.0,29.0,156500.0,0.0,1.0
04/27/1981,28.87,28.87,28.75,28.75,172000.0,0.0,1.0
04/28/1981,28.38,28.38,28.25,28.25,143700.0,0.0,1.0
04/29/1981,28.0,28.0,27.88,27.88,60900.0,0.0,1.0
04/30/1981,28.38,28.62,28.38,28.38,56300.0,0.0,1.0
05/01/1981,28.38,28.62,28.38,28.38,73900.0,0.0,1.0
05/04/1981,28.38,28.38,28.25,28.25,64500.0,0.0,1.0
05/05/1981,28.25,28.25,28.12,28.12,78300.0,0.0,1.0
05/06/1981,27.5,27.5,27.38,27.38,84600.0,0.0,1.0
05/07/1981,27.75,27.88,27.75,27.75,41800.0,0.0,1.0
05/08/1981,28.0,28.12,28.0,28.0,35300.0,0.0,1.0
05/11/1981,27.5,27.5,27.38,27.38,53300.0,0.0,1.0
05/12/1981,27.38,27.75,27.38,27.38,19000.0,0.0,1.0
05/13/1981,27.38,27.62,27.25,27.25,21900.0,0.0,1.0
05/14/1981,27.13,27.13,26.87,26.87,22000.0,0.0,1.0
05/15/1981,27.5,27.88,27.5,27.5,21900.0,0.0,1.0
05/18/1981,28.0,28.25,28.0,28.0,18600.0,0.0,1.0
05/19/1981,27.62,27.62,27.5,27.5,113500.0,0.0,1.0
05/20/1981,28.38,28.62,28.38,28.38,59300.0,0.0,1.0
05/21/1981,30.0,30.13,30.0,30.0,143800.0,0.0,1.0
05/22/1981,31.38,31.62,31.38,31.38,140300.0,0.0,1.0
05/26/1981,31.38,31.38,31.25,31.25,381000.0,0.0,1.0
05/27/1981,33.0,33.13,33.0,33.0,667400.0,0.0,1.0
05/28/1981,33.0,33.13,33.0,33.0,330300.0,0.0,1.0
05/29/1981,33.13,33.25,33.13,33.13,265100.0,0.0,1.0
06/01/1981,33.13,33.25,33.13,33.13,228800.0,0.0,1.0
06/02/1981,31.62,31.62,31.5,31.5,180500.0,0.0,1.0
06/03/1981,31.5,31.75,31.5,31.5,176100.0,0.0,1.0
06/04/1981,32.12,32.25,32.12,32.12,250300.0,0.0,1.0
06/05/1981,31.75,31.75,31.62,31.62,257500.0,0.0,1.0
06/08/1981,30.63,30.63,30.5,30.5,417400.0,0.0,1.0
06/09/1981,31.12,31.25,31.12,31.12,533900.0,0.0,1.0
06/10/1981,31.5,31.88,31.5,31.5,112600.0,0.0,1.0
06/11/1981,32.87,33.0,32.87,32.87,174000.0,0.0,1.0
06/12/1981,32.63,32.63,32.5,32.5,115200.0,0.0,1.0
06/15/1981,32.5,32.5,32.37,32.37,641800.0,0.0,1.0
06/16/1981,31.88,31.88,31.75,31.75,166300.0,0.0,1.0
06/17/1981,31.38,31.38,31.25,31.25,123100.0,0.0,1.0
06/18/1981,31.25,31.38,31.12,31.12,102900.0,0.0,1.0
06/19/1981,30.37,30.37,30.25,30.25,122800.0,0.0,1.0
06/22/1981,29.25,29.25,29.13,29.13,48400.0,0.0,1.0
06/23/1981,29.63,29.87,29.63,29.63,67100.0,0.0,1.0
06/24/1981,29.13,29.13,28.87,28.87,102800.0,0.0,1.0
06/25/1981,29.5,29.63,29.5,29.5,108300.0,0.0,1.0
06/26/1981,29.37,29.37,29.13,29.13,106200.0,0.0,1.0
06/29/1981,28.38,28.38,28.12,28.12,47300.0,0.0,1.0
06/30/1981,26.13,26.13,26.0,26.0,160300.0,0.0,1.0
07/01/1981,25.87,25.87,25.75,25.75,761000.0,0.0,1.0
07/02/1981,25.75,25.87,25.75,25.75,135200.0,0.0,1.0
07/06/1981,25.12,25.12,24.88,24.88,73800.0,0.0,1.0
07/07/1981,25.12,25.37,25.12,25.12,70700.0,0.0,1.0
07/08/1981,26.13,26.25,26.13,26.13,74200.0,0.0,1.0
07/09/1981,24.25,24.25,24.12,24.12,146800.0,0.0,1.0
07/10/1981,22.37,22.37,22.25,22.25,246300.0,0.0,1.0
07/13/1981,22.75,22.87,22.75,22.75,204200.0,0.0,1.0
07/14/1981,23.75,24.0,23.75,23.75,88300.0,0.0,1.0
07/15/1981,24.38,24.5,24.38,24.38,48900.0,0.0,1.0
07/16/1981,25.0,25.25,25.0,25.0,68000.0,0.0,1.0
07/17/1981,25.87,26.0,25.87,25.87,88500.0,0.0,1.0
07/20/1981,24.25,24.25,24.12,24.12,105600.0,0.0,1.0
07/21/1981,24.12,24.12,24.0,24.0,142600.0,0.0,1.0
07/22/1981,22.87,22.87,22.63,22.63,101200.0,0.0,1.0
07/23/1981,23.25,23.37,23.25,23.25,153800.0,0.0,1.0
07/24/1981,24.0,24.12,24.0,24.0,128800.0,0.0,1.0
07/27/1981,25.0,25.12,25.0,25.0,77400.0,0.0,1.0
07/28/1981,24.25,24.25,24.12,24.12,102000.0,0.0,1.0
07/29/1981,23.88,23.88,23.75,23.75,69200.0,0.0,1.0
07/30/1981,24.62,24.88,24.62,24.62,44200.0,0.0,1.0
07/31/1981,25.0,25.12,25.0,25.0,48900.0,0.0,1.0
08/03/1981,25.0,25.0,24.75,24.75,55500.0,0.0,1.0
08/04/1981,25.12,25.25,25.12,25.12,141400.0,0.0,1.0
08/05/1981,25.87,26.0,25.87,25.87,78100.0,0.0,1.0
08/06/1981,25.37,25.37,25.25,25.25,47000.0,0.0,1.0
08/07/1981,25.25,25.37,25.25,25.25,41100.0,0.0,1.0
08/11/1981,24.75,24.75,24.5,24.5,319000.0,0.0,1.0
08/12/1981,24.12,24.12,24.0,24.0,117300.0,0.0,1.0
08/13/1981,23.37,23.37,23.25,23.25,122700.0,0.0,1.0
08/14/1981,23.13,23.13,22.87,22.87,108000.0,0.0,1.0
08/17/1981,22.37,22.37,22.13,22.13,84400.0,0.0,1.0
08/18/1981,21.87,21.87,21.62,21.62,75900.0,0.0,1.0
08/19/1981,21.62,21.62,21.38,21.38,92300.0,0.0,1.0
08/20/1981,21.62,21.75,21.62,21.62,76400.0,0.0,1.0
08/21/1981,20.38,20.38,20.13,20.13,187100.0,0.0,1.0
08/24/1981,19.0,19.0,18.87,18.87,103000.0,0.0,1.0
08/25/1981,19.37,19.5,19.37,19.37,181700.0,0.0,1.0
08/26/1981,19.13,19.13,19.0,19.0,150000.0,0.0,1.0
08/27/1981,19.13,19.25,19.13,19.13,115700.0,0.0,1.0
08/28/1981,20.13,20.25,20.13,20.13,169800.0,0.0,1.0
08/31/1981,20.13,20.25,20.13,20.13,182800.0,0.0,1.0
09/01/1981,21.38,21.5,21.38,21.38,165300.0,0.0,1.0
09/02/1981,21.75,21.87,21.75,21.75,86500.0,0.0,1.0
09/03/1981,20.88,20.88,20.62,20.62,167300.0,0.0,1.0
09/04/1981,20.5,20.5,20.38,20.38,68100.0,0.0,1.0
09/08/1981,19.87,19.87,19.75,19.75,113600.0,0.0,1.0
09/09/1981,19.75,19.87,19.75,19.75,136300.0,0.0,1.0
09/10/1981,19.87,20.0,19.87,19.87,155400.0,0.0,1.0
09/11/1981,19.75,19.75,19.63,19.63,78300.0,0.0,1.0
09/14/1981,19.13,19.13,19.0,19.0,123600.0,0.0,1.0
09/15/1981,18.63,18.63,18.5,18.5,87100.0,0.0,1.0
09/16/1981,18.25,18.25,18.12,18.12,86400.0,0.0,1.0
09/17/1981,17.75,17.75,17.62,17.62,86500.0,0.0,1.0
09/18/1981,17.75,17.88,17.75,17.75,117500.0,0.0,1.0
09/21/1981,17.88,18.0,17.88,17.88,218900.0,0.0,1.0
09/22/1981,17.0,17.0,16.88,16.88,211700.0,0.0,1.0
09/23/1981,16.75,16.75,16.5,16.5,125900.0,0.0,1.0
09/24/1981,16.5,16.5,16.37,16.37,81700.0,0.0,1.0
09/25/1981,14.5,14.5,14.25,14.25,154500.0,0.0,1.0
09/28/1981,14.38,14.5,14.38,14.38,409500.0,0.0,1.0
09/29/1981,15.13,15.25,15.13,15.13,422700.0,0.0,1.0
09/30/1981,15.25,15.37,15.25,15.25,223200.0,0.0,1.0
10/01/1981,15.25,15.37,15.25,15.25,272900.0,0.0,1.0
10/02/1981,16.5,16.63,16.5,16.5,201100.0,0.0,1.0
10/05/1981,17.0,17.25,17.0,17.0,192400.0,0.0,1.0
10/06/1981,17.0,17.0,16.88,16.88,126600.0,0.0,1.0
