Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio
01/21/1994,17.0,17.5,16.25,17.5,1688666.6666667,0.0,1.0
01/24/1994,17.0,19.0,16.5,17.0,595066.66666667,0.0,1.0
01/25/1994,16.75,17.25,16.25,16.88,300177.77777778,0.0,1.0
01/26/1994,16.5,17.0,16.5,16.75,87866.666666667,0.0,1.0
01/27/1994,16.5,18.0,16.25,17.75,81600.0,0.0,1.0
01/28/1994,17.5,17.75,16.5,16.75,42844.444444444,0.0,1.0
01/31/1994,17.0,17.0,16.25,16.63,5200.0,0.0,1.0
02/01/1994,17.0,17.0,16.5,16.5,76000.0,0.0,1.0
02/02/1994,16.5,17.0,16.5,17.0,66044.444444444,0.0,1.0
02/03/1994,16.5,17.5,16.0,17.5,123600.0,0.0,1.0
02/04/1994,17.25,17.75,16.25,16.25,57244.444444444,0.0,1.0
02/07/1994,15.75,16.5,15.0,16.13,94577.777777778,0.0,1.0
02/08/1994,15.75,16.75,15.75,16.75,47866.666666667,0.0,1.0
02/09/1994,16.75,17.25,16.75,17.25,30044.444444444,0.0,1.0
02/10/1994,17.25,17.25,16.75,17.25,27377.777777778,0.0,1.0
02/11/1994,16.75,17.12,16.75,17.12,11066.666666667,0.0,1.0
02/14/1994,17.5,17.5,16.75,16.88,47066.666666667,0.0,1.0
02/15/1994,16.75,17.25,16.75,16.75,5777.7777777778,0.0,1.0
02/16/1994,17.25,17.25,16.5,17.0,10800.0,0.0,1.0
02/17/1994,16.25,16.75,15.25,15.25,140266.66666667,0.0,1.0
02/18/1994,16.0,17.25,15.75,17.0,370977.77777778,0.0,1.0
02/22/1994,16.25,17.0,16.25,16.75,53866.666666667,0.0,1.0
02/23/1994,16.25,17.0,16.25,17.0,29866.666666667,0.0,1.0
02/24/1994,17.25,17.25,16.5,17.0,10266.666666667,0.0,1.0
02/25/1994,16.5,16.75,16.0,16.25,66177.777777778,0.0,1.0
02/28/1994,16.63,16.75,15.75,15.75,50666.666666667,0.0,1.0
03/01/1994,16.0,16.5,15.0,15.75,103600.0,0.0,1.0
03/02/1994,15.5,15.5,15.0,15.5,12977.777777778,0.0,1.0
03/03/1994,15.0,15.5,15.0,15.25,52177.777777778,0.0,1.0
03/04/1994,15.5,16.0,15.0,15.75,82266.666666667,0.0,1.0
03/07/1994,15.0,16.0,15.0,15.25,577.77777777778,0.0,1.0
03/08/1994,16.0,16.0,15.37,15.37,20266.666666667,0.0,1.0
03/09/1994,15.75,16.0,15.5,15.5,41377.777777778,0.0,1.0
03/10/1994,15.75,16.75,15.75,16.0,97866.666666667,0.0,1.0
03/11/1994,16.5,17.0,16.0,17.0,39777.777777778,0.0,1.0
03/14/1994,16.38,16.75,16.38,16.75,1377.7777777778,0.0,1.0
03/15/1994,16.75,16.75,16.75,16.75,44.444444444444,0.0,1.0
03/16/1994,16.75,17.0,16.25,17.0,18400.0,0.0,1.0
03/17/1994,17.0,17.25,17.0,17.0,8044.4444444444,0.0,1.0
03/18/1994,17.5,18.5,17.0,18.5,160666.66666667,0.0,1.0
03/21/1994,18.0,18.5,18.0,18.25,259466.66666667,0.0,1.0
03/22/1994,17.75,18.25,17.5,17.87,80266.666666667,0.0,1.0
03/23/1994,17.5,18.0,17.5,18.0,8266.6666666667,0.0,1.0
03/24/1994,17.5,17.62,16.25,16.75,126000.0,0.0,1.0
03/25/1994,16.75,16.75,16.25,16.63,132044.44444444,0.0,1.0
