Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio
03/13/1986,25.5,29.25,25.5,28.0,3582600.0,0.0,1.0
03/14/1986,28.0,29.5,28.0,29.0,1070000.0,0.0,1.0
03/17/1986,29.0,29.75,29.0,29.5,462400.0,0.0,1.0
03/18/1986,29.5,29.75,28.5,28.75,235300.0,0.0,1.0
03/19/1986,28.75,29.0,28.0,28.25,166300.0,0.0,1.0
03/20/1986,28.25,28.25,27.25,27.5,202900.0,0.0,1.0
03/21/1986,27.5,28.0,26.25,26.75,208300.0,0.0,1.0
03/24/1986,26.75,26.75,25.75,26.0,226700.0,0.0,1.0
03/25/1986,26.0,26.5,25.75,26.5,111400.0,0.0,1.0
03/26/1986,26.5,27.5,26.25,27.25,79000.0,0.0,1.0
03/27/1986,27.25,27.75,27.25,27.75,58500.0,0.0,1.0
03/31/1986,27.75,27.75,27.0,27.5,44700.0,0.0,1.0
04/01/1986,27.5,27.5,27.25,27.25,38500.0,0.0,1.0
04/02/1986,27.25,28.0,27.25,27.5,93800.0,0.0,1.0
04/03/1986,27.75,28.5,27.75,27.75,80000.0,0.0,1.0
04/04/1986,27.75,28.0,27.75,27.75,92300.0,0.0,1.0
04/07/1986,27.75,28.0,26.75,27.25,57500.0,0.0,1.0
04/08/1986,27.25,28.0,27.25,27.5,35600.0,0.0,1.0
04/09/1986,27.5,28.25,27.5,28.0,42200.0,0.0,1.0
04/10/1986,28.0,28.5,27.5,28.25,48200.0,0.0,1.0
04/11/1986,28.5,29.25,28.5,28.75,59800.0,0.0,1.0
04/14/1986,28.75,29.25,28.75,29.0,42200.0,0.0,1.0
04/15/1986,29.0,29.0,28.0,29.0,32300.0,0.0,1.0
04/16/1986,29.0,30.25,28.75,30.0,110800.0,0.0,1.0
04/17/1986,30.0,30.25,30.0,30.25,76400.0,0.0,1.0
04/18/1986,30.25,30.25,29.0,29.25,75100.0,0.0,1.0
04/21/1986,29.25,29.5,28.5,29.25,79600.0,0.0,1.0
04/22/1986,29.25,29.25,28.75,28.75,54000.0,0.0,1.0
04/23/1986,28.75,29.0,28.5,28.87,54200.0,0.0,1.0
04/24/1986,28.87,32.25,28.75,31.75,216500.0,0.0,1.0
04/25/1986,32.0,35.12,32.0,33.75,297900.0,0.0,1.0
04/28/1986,33.75,34.25,33.5,34.0,100300.0,0.0,1.0
04/29/1986,34.0,34.0,32.75,33.0,105300.0,0.0,1.0
04/30/1986,33.0,33.25,31.5,32.25,107300.0,0.0,1.0
05/01/1986,32.25,32.25,31.25,31.75,188700.0,0.0,1.0
05/02/1986,31.75,32.25,31.5,31.75,70300.0,0.0,1.0
05/05/1986,31.75,31.75,31.5,31.5,11300.0,0.0,1.0
05/06/1986,31.75,32.25,31.75,31.75,33800.0,0.0,1.0
05/07/1986,31.75,32.0,31.25,31.75,17900.0,0.0,1.0
05/08/1986,31.75,32.0,31.5,32.0,12300.0,0.0,1.0
05/09/1986,32.0,32.0,31.75,31.75,21100.0,0.0,1.0
05/12/1986,31.75,32.75,31.75,32.0,36400.0,0.0,1.0
05/13/1986,32.0,32.5,32.0,32.25,13300.0,0.0,1.0
05/14/1986,32.25,32.25,32.0,32.0,32300.0,0.0,1.0
05/15/1986,32.0,32.5,32.0,32.0,13200.0,0.0,1.0
05/16/1986,32.0,33.0,32.0,32.25,41500.0,0.0,1.0
05/19/1986,32.25,32.25,31.5,31.75,38200.0,0.0,1.0
05/20/1986,31.75,31.75,31.25,31.5,215200.0,0.0,1.0
05/21/1986,31.5,31.75,31.0,31.0,28100.0,0.0,1.0
05/22/1986,31.0,31.25,31.0,31.0,15300.0,0.0,1.0
05/23/1986,31.0,31.5,31.0,31.0,14200.0,0.0,1.0
05/27/1986,31.0,32.0,31.0,32.0,48200.0,0.0,1.0
05/28/1986,32.0,33.0,32.0,33.0,53900.0,0.0,1.0
05/29/1986,33.0,34.25,32.75,33.75,158600.0,0.0,1.0
05/30/1986,34.0,35.5,34.0,35.0,94000.0,0.0,1.0
06/02/1986,35.0,35.0,34.0,34.0,68500.0,0.0,1.0
06/03/1986,34.0,34.0,33.5,34.0,17400.0,0.0,1.0
06/04/1986,34.0,34.25,33.5,33.75,16400.0,0.0,1.0
06/05/1986,33.75,34.25,33.5,34.25,47600.0,0.0,1.0
06/06/1986,34.25,34.25,33.75,34.25,11900.0,0.0,1.0
06/09/1986,34.25,34.25,32.75,32.75,44000.0,0.0,1.0
06/10/1986,32.75,32.75,32.25,32.75,11900.0,0.0,1.0
06/11/1986,32.75,32.75,32.25,32.75,8000.0,0.0,1.0
06/12/1986,32.75,32.75,31.25,31.5,47600.0,0.0,1.0
06/13/1986,31.5,31.75,31.25,31.5,27400.0,0.0,1.0
06/16/1986,31.5,31.75,31.0,31.25,33300.0,0.0,1.0
06/17/1986,31.5,32.25,31.5,31.75,45400.0,0.0,1.0
06/18/1986,31.75,31.75,31.0,31.5,15100.0,0.0,1.0
06/19/1986,31.5,31.75,31.0,31.25,29400.0,0.0,1.0
06/20/1986,31.25,31.5,31.25,31.37,13200.0,0.0,1.0
06/23/1986,31.37,31.75,30.75,31.75,160400.0,0.0,1.0
06/24/1986,31.75,32.0,31.25,31.5,50600.0,0.0,1.0
06/25/1986,31.5,31.75,31.0,31.0,52900.0,0.0,1.0
06/26/1986,31.0,31.25,30.0,30.0,66500.0,0.0,1.0
06/27/1986,30.0,30.25,29.5,29.75,36100.0,0.0,1.0
06/30/1986,29.75,31.5,29.5,30.75,216500.0,0.0,1.0
07/01/1986,30.75,30.75,30.5,30.75,165200.0,0.0,1.0
07/02/1986,30.75,30.75,30.5,30.75,182700.0,0.0,1.0
07/03/1986,31.0,31.5,31.0,31.25,49100.0,0.0,1.0
07/07/1986,31.25,31.25,30.0,30.0,48800.0,0.0,1.0
07/08/1986,30.0,30.0,29.0,29.25,49500.0,0.0,1.0
07/09/1986,29.25,29.25,27.75,28.0,160200.0,0.0,1.0
07/10/1986,28.0,28.25,26.0,27.25,162800.0,0.0,1.0
07/11/1986,27.25,28.5,27.25,28.0,60400.0,0.0,1.0
07/14/1986,27.25,28.25,27.25,27.62,99300.0,0.0,1.0
07/15/1986,27.62,28.5,27.25,28.0,45800.0,0.0,1.0
07/16/1986,28.25,29.0,28.25,29.0,32500.0,0.0,1.0
07/17/1986,29.0,29.5,28.75,29.5,24100.0,0.0,1.0
07/18/1986,29.5,30.0,28.75,29.75,42800.0,0.0,1.0
07/21/1986,29.75,30.25,29.75,29.75,12200.0,0.0,1.0
07/22/1986,29.75,30.75,29.75,30.75,36500.0,0.0,1.0
07/23/1986,30.75,31.25,30.0,30.0,72200.0,0.0,1.0
07/24/1986,30.5,31.5,30.5,31.0,49100.0,0.0,1.0
07/25/1986,31.0,31.5,31.0,31.25,71000.0,0.0,1.0
07/28/1986,31.25,31.25,30.5,30.5,41000.0,0.0,1.0
07/29/1986,30.5,30.75,29.25,29.75,48800.0,0.0,1.0
07/30/1986,29.75,29.75,27.75,28.75,91700.0,0.0,1.0
07/31/1986,28.75,29.0,28.5,28.5,54300.0,0.0,1.0
08/01/1986,28.5,28.75,28.0,28.25,44800.0,0.0,1.0
08/04/1986,28.25,28.25,27.5,28.25,43200.0,0.0,1.0
08/05/1986,28.25,28.5,28.0,28.0,9800.0,0.0,1.0
08/06/1986,28.0,28.25,27.25,27.75,63600.0,0.0,1.0
08/07/1986,27.75,28.0,27.25,27.5,12700.0,0.0,1.0
08/08/1986,27.5,28.25,27.5,27.75,14400.0,0.0,1.0
08/11/1986,28.25,29.0,28.25,28.75,27600.0,0.0,1.0
08/12/1986,28.75,29.5,28.75,29.5,34700.0,0.0,1.0
08/13/1986,29.5,29.75,29.25,29.75,23900.0,0.0,1.0
08/14/1986,29.75,30.75,29.75,30.5,69900.0,0.0,1.0
08/15/1986,30.5,30.75,30.25,30.63,21200.0,0.0,1.0
08/18/1986,30.63,30.75,30.25,30.25,44400.0,0.0,1.0
08/19/1986,30.25,30.38,29.75,30.25,70800.0,0.0,1.0
08/20/1986,30.25,30.25,30.0,30.0,72100.0,0.0,1.0
08/21/1986,30.0,30.5,30.0,30.0,172000.0,0.0,1.0
08/22/1986,30.0,30.25,29.0,29.5,20000.0,0.0,1.0
08/25/1986,29.5,29.5,29.0,29.5,8400.0,0.0,1.0
08/26/1986,29.5,29.5,29.25,29.25,37700.0,0.0,1.0
08/27/1986,29.25,29.5,29.0,29.25,33100.0,0.0,1.0
08/28/1986,29.25,29.5,29.25,29.25,11900.0,0.0,1.0
08/29/1986,29.25,29.5,28.0,28.5,88300.0,0.0,1.0
09/02/1986,28.5,28.5,27.37,27.75,18100.0,0.0,1.0
09/03/1986,27.5,27.5,26.25,27.0,63600.0,0.0,1.0
09/04/1986,27.5,29.25,27.5,29.25,136900.0,0.0,1.0
09/05/1986,29.25,30.5,29.0,30.5,91500.0,0.0,1.0
09/08/1986,30.5,30.75,30.25,30.25,33400.0,0.0,1.0
09/09/1986,30.25,31.5,30.25,30.75,130300.0,0.0,1.0
09/10/1986,30.75,31.0,30.25,30.25,37800.0,0.0,1.0
09/11/1986,30.25,30.5,29.0,29.0,123800.0,0.0,1.0
09/12/1986,29.0,29.25,28.25,28.25,84900.0,0.0,1.0
09/15/1986,28.25,28.75,27.75,28.75,78100.0,0.0,1.0
09/16/1986,28.75,29.0,28.25,28.75,18000.0,0.0,1.0
09/17/1986,28.75,30.0,28.5,29.5,27900.0,0.0,1.0
09/18/1986,29.5,30.25,29.5,29.75,18600.0,0.0,1.0
09/19/1986,29.75,30.0,29.5,29.75,8700.0,0.0,1.0
09/22/1986,29.75,29.75,29.5,29.5,15600.0,0.0,1.0
09/23/1986,29.5,30.25,29.5,30.0,20700.0,0.0,1.0
09/24/1986,30.0,30.0,29.5,29.62,16600.0,0.0,1.0
09/25/1986,29.62,29.75,29.0,29.0,17900.0,0.0,1.0
09/26/1986,29.0,29.25,28.75,29.0,8100.0,0.0,1.0
09/29/1986,29.0,29.0,28.25,28.25,21500.0,0.0,1.0
09/30/1986,28.25,28.75,28.25,28.25,18000.0,0.0,1.0
10/01/1986,28.25,28.75,27.5,28.0,112600.0,0.0,1.0
10/02/1986,28.0,28.5,27.75,28.0,78900.0,0.0,1.0
10/03/1986,28.0,28.5,28.0,28.25,51100.0,0.0,1.0
10/06/1986,29.0,31.0,29.0,30.5,296300.0,0.0,1.0
10/07/1986,30.5,31.75,30.5,31.12,207600.0,0.0,1.0
10/08/1986,31.12,32.37,30.75,32.0,415300.0,0.0,1.0
10/09/1986,32.0,33.75,32.0,33.0,321400.0,0.0,1.0
10/10/1986,33.0,35.25,32.5,34.5,266500.0,0.0,1.0
10/13/1986,34.5,34.5,33.0,33.0,94200.0,0.0,1.0
10/14/1986,33.25,33.75,33.25,33.5,44700.0,0.0,1.0
10/15/1986,33.5,35.25,33.5,35.0,220600.0,0.0,1.0
10/16/1986,35.0,35.25,34.75,35.0,75900.0,0.0,1.0
10/17/1986,35.0,36.25,35.0,36.0,432100.0,0.0,1.0
10/20/1986,36.0,36.75,35.25,36.25,151200.0,0.0,1.0
10/21/1986,36.5,37.75,36.5,37.75,390200.0,0.0,1.0
10/22/1986,37.75,38.13,37.5,37.75,189500.0,0.0,1.0
10/23/1986,37.75,38.0,37.37,37.75,244600.0,0.0,1.0
10/24/1986,37.75,37.75,36.5,37.5,352000.0,0.0,1.0
10/27/1986,37.75,38.75,37.75,38.75,436300.0,0.0,1.0
10/28/1986,38.75,40.25,38.75,39.63,495300.0,0.0,1.0
10/29/1986,39.63,39.75,38.0,38.5,184800.0,0.0,1.0
10/30/1986,38.5,39.75,38.25,39.25,154100.0,0.0,1.0
10/31/1986,39.25,39.75,38.5,38.75,221300.0,0.0,1.0
11/03/1986,39.0,39.75,39.0,39.5,146500.0,0.0,1.0
11/04/1986,39.5,41.0,39.5,41.0,188900.0,0.0,1.0
11/05/1986,41.0,43.75,40.75,43.5,156600.0,0.0,1.0
11/06/1986,43.5,45.5,43.25,44.5,252000.0,0.0,1.0
11/07/1986,44.5,44.75,43.5,44.25,153900.0,0.0,1.0
11/10/1986,44.25,44.25,42.25,42.5,99600.0,0.0,1.0
11/11/1986,42.75,43.25,42.75,42.75,41300.0,0.0,1.0
11/12/1986,42.75,43.75,42.25,42.75,118600.0,0.0,1.0
11/13/1986,42.75,43.0,42.0,42.13,104900.0,0.0,1.0
11/14/1986,42.13,42.5,41.25,42.5,65000.0,0.0,1.0
11/17/1986,42.5,43.25,42.0,42.75,84400.0,0.0,1.0
11/18/1986,42.75,43.0,40.5,40.5,207200.0,0.0,1.0
11/19/1986,40.5,42.25,40.5,42.0,169200.0,0.0,1.0
11/20/1986,42.0,45.25,42.0,45.25,340900.0,0.0,1.0
11/21/1986,45.5,47.25,45.5,46.75,316200.0,0.0,1.0
11/24/1986,46.75,50.75,45.25,50.5,603600.0,0.0,1.0
11/25/1986,50.5,51.25,50.25,51.0,332600.0,0.0,1.0
