Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio
06/29/2010,19.0,25.0,17.54,23.89,18766300.0,0.0,1.0
06/30/2010,25.79,30.42,23.3,23.83,17187100.0,0.0,1.0
07/01/2010,25.0,25.92,20.27,21.96,8218800.0,0.0,1.0
07/02/2010,23.0,23.1,18.71,19.2,5139800.0,0.0,1.0
07/06/2010,20.0,20.0,15.83,16.11,6866900.0,0.0,1.0
07/07/2010,16.4,16.63,14.98,15.8,6921700.0,0.0,1.0
07/08/2010,16.14,17.52,15.57,17.46,7711400.0,0.0,1.0
07/09/2010,17.58,17.9,16.55,17.4,4050600.0,0.0,1.0
07/12/2010,17.95,18.07,17.0,17.05,2202500.0,0.0,1.0
07/13/2010,17.39,18.64,16.9,18.14,2680100.0,0.0,1.0
07/14/2010,17.94,20.15,17.76,19.84,4195200.0,0.0,1.0
07/15/2010,19.94,21.5,19.0,19.89,3739800.0,0.0,1.0
07/16/2010,20.7,21.3,20.05,20.64,2621300.0,0.0,1.0
07/19/2010,21.37,22.25,20.92,21.91,2486500.0,0.0,1.0
07/20/2010,21.85,21.85,20.05,20.3,1825300.0,0.0,1.0
07/21/2010,20.66,20.9,19.5,20.22,1252500.0,0.0,1.0
07/22/2010,20.5,21.25,20.37,21.0,957800.0,0.0,1.0
07/23/2010,21.19,21.56,21.06,21.29,653600.0,0.0,1.0
07/26/2010,21.5,21.5,20.3,20.95,922200.0,0.0,1.0
07/27/2010,20.91,21.18,20.26,20.55,619700.0,0.0,1.0
07/28/2010,20.55,20.9,20.51,20.72,467200.0,0.0,1.0
07/29/2010,20.77,20.88,20.0,20.35,616000.0,0.0,1.0
07/30/2010,20.2,20.44,19.55,19.94,426900.0,0.0,1.0
08/02/2010,20.5,20.97,20.33,20.92,718100.0,0.0,1.0
08/03/2010,21.0,21.95,20.82,21.95,1230500.0,0.0,1.0
08/04/2010,21.95,22.18,20.85,21.26,913000.0,0.0,1.0
08/05/2010,21.54,21.55,20.05,20.45,796200.0,0.0,1.0
08/06/2010,20.1,20.16,19.52,19.59,741900.0,0.0,1.0
08/09/2010,19.9,19.98,19.45,19.6,812700.0,0.0,1.0
08/10/2010,19.65,19.65,18.82,19.03,1281300.0,0.0,1.0
08/11/2010,18.69,18.88,17.85,17.9,797600.0,0.0,1.0
08/12/2010,17.8,17.9,17.39,17.6,691000.0,0.0,1.0
08/13/2010,18.18,18.45,17.66,18.32,634000.0,0.0,1.0
08/16/2010,18.45,18.8,18.26,18.78,485800.0,0.0,1.0
08/17/2010,18.96,19.4,18.78,19.15,447900.0,0.0,1.0
08/18/2010,19.59,19.59,18.6,18.77,601300.0,0.0,1.0
08/19/2010,18.54,19.25,18.33,18.79,579100.0,0.0,1.0
08/20/2010,18.65,19.11,18.51,19.1,296000.0,0.0,1.0
08/23/2010,19.09,20.39,19.0,20.13,1088100.0,0.0,1.0
08/24/2010,19.25,19.71,18.95,19.2,673100.0,0.0,1.0
08/25/2010,19.16,19.98,18.56,19.9,503300.0,0.0,1.0
08/26/2010,19.89,20.27,19.6,19.75,433800.0,0.0,1.0
